  0:3:35 11/8/2024   |         Log          | Log System enabled
  0:3:35 11/8/2024   |      FileSystem      | File Manager enabled 🗃️
  0:3:35 11/8/2024   |   Settings loader    | Settings system enabled ✅
  0:3:35 11/8/2024   |    Booting system    | Start up system enabled ✅
  0:3:35 11/8/2024   |       Electron       | app is ready!
  0:3:35 11/8/2024   |      FileSystem      | Log System Write Disk enabled ✏️
  0:3:35 11/8/2024   |      FileSystem      | file: settings.json already exists in C:\Users\Juan Pablo Angulo\Documents\2024-1\S2D\S2DX\Settings
  0:3:35 11/8/2024   |   Settings loader    | settings.json already exists
  0:3:35 11/8/2024   |      FileSystem      | C:\Users\Juan Pablo Angulo\Documents\2024-1\S2D\S2DX\Settings/settings.json content has been read
  0:3:35 11/8/2024   |    Booting system    | Window created and animation started 🌈
  0:3:42 11/8/2024   |    Booting system    | Animation has finished
  0:3:42 11/8/2024   |      Tab System      | Main Window created 🎮
